fuel_consumption_rate	traffic_congestion_level	driver_behavior_score
5.136511865	5.927585801	0.033843494
5.101511531	1.591992191	0.201725391
5.09080262	8.787765349	0.264044996
8.219557503	0.045257148	0.362885164
5.000074882	8.004850905	0.016957488
5.533562734	0.499404951	0.18396379
5.779803647	8.750501123	0.020698635
5.474694573	4.813078277	0.012489728
5.680607337	9.613160806	0.876878977
5.088425403	9.897407371	0.01195855
6.601943049	8.451799363	0.026288707
5.01516913	0.254117742	0.942447283
9.190992975	1.114359997	0.272882472
5.378060082	6.229264832	0.176163669
7.66582336	9.195519373	0.785133923
12.6179272	8.896589058	0.935724362
5.138370246	5.37265828	0.943185101
6.001007238	1.472931995	0.675502716
5.000000445	1.450323447	0.689267316
19.46703173	9.405083672	0.987246852
5.627314289	6.782112772	0.000487072
5.036266419	0.138952554	0.708215262
5.001625918	6.52488592	0.499291739
5.965113594	3.929661218	0.080653831
5.555734223	6.059335927	0.588796662
5.011879451	4.730472515	0.096113039
5.000424345	6.57809584	0.03842763
5.451173245	2.565734764	0.780801786
5.515055099	1.318352364	0.058991761
19.50117432	1.687175814	0.976661218
5.606163366	8.026608393	0.29761382
5.000160249	2.826734333	0.05585902
5.000000068	2.362143934	0.380659983
19.90569367	8.694654923	0.710605781
5.025059624	5.115778891	0.66971846
5.50773195	9.731834828	0.10351722
5.005729788	9.795817723	0.028280025
5.005444537	0.342216353	0.252918719
5.07481365	0.004039759	0.478536084
5.24966358	7.41741637	0.936919854
5.000000074	8.554631826	0.914714339
5.002016069	4.881362493	0.014673134
17.29449459	0.061408861	0.153625917
5.224346251	0.255395763	0.328125386
8.960881215	4.189751205	0.981584611
5.822377226	9.431816218	0.99760202
9.328036051	8.102102517	0.957320079
5.000000469	1.351111035	0.164991408
5	4.703830606	0.619276007
17.44909443	9.999993076	0.025575822
5.054604084	3.740546816	0.039376468
5.15562795	1.880202938	0.644344775
7.662680327	7.086958063	0.897872844
7.61650726	9.790427787	0.446001977
5.330304732	4.443241932	0.233065011
5.054163667	1.405917619	0.02524373
5.000000204	4.928034266	0.706821393
5.936765238	5.394841563	0.933374615
5.015257533	8.269544454	0.483846675
6.537221594	3.715440038	0.105225008
19.93390165	9.394943617	0.04810848
12.20444257	0.526020909	0.111246941
7.157687309	2.309775171	0.917023963
11.34970163	1.098098514	0.774584298
5.415421416	3.923439145	0.001136985
5.000109882	0.092498257	0.614491945
6.154268418	9.942302285	0.263780808
7.76945235	9.995047661	0.328558839
5.014279277	9.980833262	0.006414224
6.958841932	6.570093777	0.001880555
5.118398939	3.773264332	0.009508432
6.866625159	6.02344233	0.999711266
8.660723256	5.423438126	0.990251655
5.16578651	3.461586268	0.750204091
9.992733317	9.379615891	0.177210751
5.010779698	0.901426065	0.586300015
10.06630661	0.435028247	0.603719661
9.518792168	3.951234123	0.402503973
6.194838186	8.585794072	0.716549303
5.004409879	8.755428619	0.394066183
16.80458382	1.227300817	0.573123881
5.568188945	4.128019701	0.1420932
5.041478477	6.88014888	0.434467429
5.170581287	9.999466282	0.498187898
11.3595099	9.2590028	0.974561213
8.10890371	5.949779145	0.848660633
5.473873693	7.737995364	0.722361091
5.892560957	5.141275367	0.833125902
16.93349375	3.586470846	0.106741762
5.000468347	2.250383681	0.173046243
5.000001295	1.10458069	0.997619507
5.03028282	9.899379687	0.01225576
5.823911997	0.691231594	0.429319157
6.944916457	1.916377123	0.696529141
5.443621298	9.962319773	0.056860826
8.676228071	7.766877178	0.733127747
5.00161091	2.298323855	0.997892679
5.600231484	8.513700748	0.26742207
5.004042298	7.157273416	0.106966523
5.000350649	8.014729942	0.991799779
